id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,pdi0_p1,pdi0_p2,pdi0_p3,pdi0_p4,tdi0_p1,tdi0_p2,tdi0_p3,tdi0_p4,vdi0_p1,vdi0_p2,vdi0_p3,vdi0_p4,cdi0,cdi1,cdi2,cdi3,region,pop14,popurban14,poprural14,clans
11,5,4,2,0,0,0,3,4,0,0,0,0,0,0,1.237,1.198,-0.34,-0.295,0,0,0,1,0,0,82812,5.04236092033333,0.274327843,0.000221622142857143,0,0.204333333333333,0.205,0.223333333333333,0.269,6.0508331044,1.21488044757143,0.00620542,0,0.166666666666667,0.774193548387097,0.964285714285714,1,0,1,1,4,37.3160367415753,40.9859801471365,38.4022903954621,36.8680823311643,1.68,0.78,0.72,0.94,0.77,0.69,0.86,0.69,0.28,0.29,0.3,0.29,0.6,1,1,1,0.6,0.77,1,0,0.28,0.28,0,0,1.45,0.76,0.75,0.88,10,74072,12296,48136,Hawiye
12,8,40,4,39,3,1,1,0,0,0,0,0,0,0,1.727,-0.264,-0.346,-0.273,0,0,0,1,1,0,262969,3.76382694566667,0.155296442580645,0,0,0.223,0.185333333333333,0.186333333333333,0.201666666666667,4.0326717275,0.534909968888889,0,0,0.0666666666666667,0.709677419354839,1,1,0,2,4,40,37.7819683025178,40.9297830651479,40.0844990541312,37.8031264874533,2.04,0.79,0.86,1.26,1.34,1.22,1.07,0.86,0.65,0.65,0.89,1.08,0.6,1,1,1,0.6,1,1,1,0.6,0.65,1,0,1.86,0.9,0.91,1.16,8,235214,31874,170930,Hawiye
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.759,0.386,0.284,-0.411,0,0,0,1,1,0,92924,6.10099546833333,1.16338960806452,0.0379784930357143,0,0.315333333333333,0.240666666666667,0.221,0.233,7.03961015576923,4.00723087222222,0.26584945125,0,0.133333333333333,0.709677419354839,0.857142857142857,1,0,0,0,0,34.035063804704,40.6047276670297,42.7970282530987,39.7332032154577,2.03,1.01,0.66,0.83,1.19,1.16,1.09,0.9,0.84,0.58,0.8,0.95,0.6,1,1,1,0.6,1,1,1,0.6,0.84,1,0,1.82,1.05,0.77,0.85,7,83116,26920,43636,Daarood
14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.574,-0.42,-0.28,-0.358,0,0,0,0,0,0,196777,2.81788263666667,0.00810384567741936,0,0.0345800405483871,0.102666666666667,0.102,0.108666666666667,0.113666666666667,2.81788263666667,0.125609608,0,0.1071981257,0,0.935483870967742,1,0.67741935483871,0,0,0,0,42.2344624760934,42.5501915049996,37.8406183885835,35.8906681772195,1.23,0.25,0.52,0.44,0.87,0.57,0.58,0.59,0.5,0.53,0.55,0.52,0.6,1,1,1,0.6,0.87,1,0,0.5,0.5,0,0,1.14,0.33,0.54,0.48,18,176008,73971,101447,Dir
15,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0.715,-0.647,-0.103,-0.243,0,0,0,0,0,0,445645,3.435311236,0.431102068064516,0.133728998928571,0.069516878516129,0.163666666666667,0.150666666666667,0.156666666666667,0.169,3.81701248444444,1.02801262384615,1.24813732333333,0.359170539,0.1,0.580645161290323,0.892857142857143,0.806451612903226,0,0,0,0,34.1622225309406,37.5816573484847,35.4841549871238,32.5551740540297,1.28,0.15,0.59,1.03,1.2,0.9,0.89,1.11,0.57,0.67,0.95,1.08,0.6,1,1,1,0.6,1,1,1,0.57,0.57,0,0,1.26,0.34,0.67,1.05,1,398609,271045,127504,Dir
16,10,12,6,11,2,1,2,0,0,0,0,0,0,0,-0.742,-0.54,-0.293,-0.182,0,0,0,0,0,0,524975,0.5722524623,0.01120324,0,0,0.140333333333333,0.137333333333333,0.141333333333333,0.147333333333333,1.0729733668125,0.17365022,0,0,0.466666666666667,0.935483870967742,1,1,0,0,5,12,40.8567762994095,38.7437162590184,35.6675129709803,31.9687993244458,1.31,0.24,0.47,0.49,1.13,1.08,1.07,1.08,0.52,0.56,0.58,0.57,0.6,1,1,1,0.6,1,1,1,0.52,0.52,0,0,1.27,0.45,0.62,0.64,4,469566,394831,25735,Daarood
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.781,-0.108,-0.364,0,0,0,0,0,0,121846,6.29665669496667,1.01273364735484,0.0212884422857143,0,0.382666666666667,0.322333333333333,0.34,0.420666666666667,6.74641788746429,2.414980236,0.198692128,0,0.0666666666666667,0.580645161290323,0.892857142857143,1,0,0,0,0,33.1740635358161,41.1011401057706,38.9942974564918,36.5327495417473,1.23,0.51,0.49,0.67,0.84,0.71,0.88,0.72,0.47,0.46,0.48,0.45,0.6,1,1,1,0.6,0.84,1,0,0.47,0.47,0,0,1.13,0.56,0.58,0.68,11,108986,17475,79511,Hawiye
18,3,8,1,0,1,1,1,7,0,0,0,0,0,0,1.192,-0.172,-0.358,-0.376,0,0,0,1,0,0,154600,3.31998718766667,0.323275114032258,4.545175e-05,0,0.261333333333333,0.216666666666667,0.221333333333333,0.246333333333333,3.31998718766667,0.770886810384615,0.001272649,0,0,0.580645161290323,0.964285714285714,1,7,1,2,8,36.5491178134239,39.9668361541285,39.9235973276125,37.2496570161157,1.79,0.76,0.76,0.99,1.19,1.13,1.08,0.86,0.66,0.65,0.88,1.02,0.6,1,1,1,0.6,1,1,1,0.6,0.66,1,0,1.64,0.85,0.84,0.96,8,138283,25949,102714,Hawiye
19,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0.974,-0.525,-0.352,-0.184,0,0,0,0,0,0,514676,2.289184551,0.154656043354839,0,9.13531935483871e-05,0.177666666666667,0.159666666666667,0.162333333333333,0.171666666666667,2.7470214612,0.532704149333333,0,0.002831949,0.166666666666667,0.709677419354839,1,0.967741935483871,0,0,0,0,37.8908457478154,42.3597817026485,40.0645125976837,37.1498201982942,1.36,0.62,0.61,0.54,1.5,1.3,1.35,1.42,0.71,0.73,1.03,1.2,0.6,1,1,1,0.6,1,1,1,0.6,0.71,1,0,1.4,0.79,0.79,0.76,17,460354,376010,58584,Dir
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908,-0.345,-0.277,-0.191,0,0,0,0,0,0,72629,1.01616829846667,0.0447073576774194,0,0,0.175,0.158333333333333,0.163333333333333,0.172,1.45166899780952,0.197989726857143,0,0,0.3,0.774193548387097,1,1,0,0,0,0,36.9614164532005,40.8772633030583,38.8839144388058,35.6375269992387,1.27,0.64,0.62,0.57,1.23,1.12,1.12,1.27,0.74,0.71,0.99,1.17,0.6,1,1,1,0.6,1,1,1,0.6,0.74,1,0,1.26,0.76,0.74,0.74,14,64963,31193,33770,Daarood
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.433,-0.455,-0.306,-0.146,0,0,0,1,1,1,93629,2.57455468753333,0.131373664548387,0,0,0.203,0.176666666666667,0.179,0.195333333333333,3.51075639209091,0.509072950125,0,0,0.266666666666667,0.741935483870968,1,1,0,0,0,0,36.9563810652088,42.4089539626041,39.735165407572,36.5654406908191,1.8,0.89,0.79,1.03,1.57,1.32,1.31,1.34,1.54,1.52,1.55,1.55,0.6,1,1,1,0.6,1,1,1,0.6,1,1,1,1.74,0.99,0.92,1.11,17,83747,49979,33768,Daarood
