id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.256,-0.168,-0.685,-0.777,0,0,0,0,0,0,65308,0,0.000293389548387097,0.026292301,0.136379360166667,0.144284038888889,0.143202634354839,0.1453174575,0.141918111366667,0,0.004547538,0.101882666375,0.511422600625,1,0.935483870967742,0.741935483870968,0.733333333333333
46,6,16,4,3,0,0,0,0,0,0,0,0,2,13,-0.401,-0.366,-0.864,0.892,0,0,0,0,0,0,164557,0,0,0,2.81373684033333,0.218465530740741,0.264930482258064,0.365162210645161,0.325976974933333,0,0,0,8.441210521,1,1,1,0.666666666666667
47,3,9,1,0,0,0,2,9,0,0,0,0,0,0,-0.521,-0.345,-0.845,0.772,0,0,0,0,0,0,109464,0,0,0.149178968645161,2.376842808,0.28174411,0.307149903096774,0.340619890645161,0.249317575166667,0,0,0.5780685035,7.130528424,1,1,0.741935483870968,0.666666666666667
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.214,-0.328,-0.571,0.523,0,0,0,0,0,0,91553,0,0,0,0.526177065666667,0.149249768518519,0.161998878709677,0.167676200967742,0.153019363066667,0,0,0,2.25504456714286,1,1,1,0.766666666666667
49,11,18,1,0,3,4,5,14,0,0,0,0,2,0,-0.449,-0.332,-0.933,0.852,0,0,0,0,0,0,195448,0.000154986285714286,0,0.159663799806452,3.40893443333333,0.285443659259259,0.32211169483871,0.434422156451613,0.2857117965,0.004339616,0,0.449961617636364,6.81786886666667,0.964285714285714,1,0.645161290322581,0.5
50,3,1,2,1,0,0,0,0,0,0,0,0,1,0,-0.424,-0.379,-1.118,0.67,0,0,0,0,0,0,200230,0,0,0.00230065070967742,2.82838385083333,0.21269561962963,0.264926807322581,0.365935811290323,0.292486146333333,0,0,0.035660086,7.07095962708333,1,1,0.935483870967742,0.6
51,10,3,7,1,1,1,1,1,0,0,1,0,0,0,-0.49,-0.382,-0.991,0.362,0,0,0,0,0,0,181935,0.00631200689285714,0.000580674322580645,0.381340417096774,3.08895886313333,0.216715187777778,0.316846534193548,0.313349137419355,0.239084632566667,0.04418404825,0.018000904,1.68879327571429,5.14826477188889,0.857142857142857,0.967741935483871,0.774193548387097,0.4
52,2,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.318,-0.29,-0.877,0.532,0,0,0,0,0,0,293270,0.000239268928571429,0,0,2.71214790533333,0.282395358148148,0.326459425483871,0.480932138709677,0.3012537336,0.00669953,0,0,6.78036976333333,0.964285714285714,1,1,0.6
53,2,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.31,-0.164,-0.442,1.385,0,0,0,0,0,0,174898,0,0,0.00130523983870968,0.4906890078,0.154374918148148,0.168859802451613,0.182789897419355,0.191819679033333,0,0,0.0202312175,2.453445039,1,1,0.935483870967742,0.8
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.277,-0.185,-0.863,-0.515,0,0,0,0,0,0,267040,0,0,0.0371384572580645,0.00581556513333333,0.151127963333333,0.154651468709677,0.161937938548387,0.158331343333333,0,0,0.191882029166667,0.087233477,1,1,0.806451612903226,0.933333333333333
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.467,0.232,-0.86,-0.738,0,0,0,0,0,0,112716,0.0070292275,0.255318551612903,0.121268390322581,0,0.0780488207037037,0.100185395677419,0.0944171850322581,0.0933803333333333,0.098409185,2.6382917,1.87966005,0,0.928571428571429,0.903225806451613,0.935483870967742,1
56,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.359,-0.401,-0.66,1.403,0,0,0,0,0,0,77880,0.000890914571428571,0,0.000651254612903226,2.828576735,0.166756635888889,0.205095691806452,0.242465178709677,0.235320820133333,0.012472804,0,0.0100944465,8.485730205,0.928571428571429,1,0.935483870967742,0.666666666666667
57,9,12,6,12,0,0,3,0,0,0,0,0,0,0,-0.25,-0.293,-0.853,0.316,0,0,0,0,0,0,221701,0.000131672321428571,0,0.00539887709677419,1.50641268266667,0.279953652962963,0.308888589032258,0.355433741612903,0.317672064333333,0.003686825,0,0.083682595,5.64904756,0.964285714285714,1,0.935483870967742,0.733333333333333
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.615,-0.196,-0.521,-0.628,0,0,0,0,0,0,113318,0.000144100464285714,0,0.00314398348387097,0.125555430033333,0.162731178518519,0.182782498709677,0.183737703225806,0.1718849648,0.004034813,0,0.048731744,0.342423900090909,0.964285714285714,1,0.935483870967742,0.633333333333333
59,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.29,-0.174,-0.756,-0.722,0,0,0,0,0,0,58260,0,0,0.157963208677419,0.00727400866666667,0.17790962037037,0.180608540322581,0.168415713333333,0.163042494666667,0,0,0.445169042636364,0.043644052,1,1,0.645161290322581,0.833333333333333
60,3,3,2,3,0,0,1,0,0,0,0,0,0,0,0.461,-0.503,-0.946,0.599,0,0,0,0,0,0,116689,0.0425987214285714,0.000156221580645161,0.0265605767741935,3.072527437,0.200076129814815,0.282251513709677,0.363113880645161,0.286999058666667,1.1927642,0.004842869,0.274459293333333,7.09044793153846,0.964285714285714,0.967741935483871,0.903225806451613,0.566666666666667
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.273,-0.183,-0.54,-0.352,0,0,0,0,0,0,95687,0,0,0.00481647683870968,0.0319748737,0.143345759259259,0.143527371096774,0.150896170666667,0.1411638284,0,0,0.0497702606666667,0.1598743685,1,1,0.903225806451613,0.8
62,15,52,11,47,1,5,0,0,0,0,0,0,3,0,-0.368,-0.294,-0.98,0.361,0,0,0,0,0,0,326894,0.000115417392857143,0,0,2.34253598543333,0.250230554962963,0.293557258967742,0.447343426129032,0.3060352884,0.003231687,0,0,5.85633996358333,0.964285714285714,1,1,0.6
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,-0.394,-0.502,1.607,0,0,0,0,0,0,42095,0.00597380964285714,0,0,1.53924930166667,0.155831599666667,0.178727611419355,0.206272180322581,0.186208775033333,0.16726667,0,0,4.617747905,0.964285714285714,1,1,0.666666666666667
64,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.955,-0.394,-1.028,0.441,0,0,0,0,0,0,88452,0.136134032,0,0,5.03086075226667,0.234482127407407,0.340896346774194,0.424954323870968,0.319229899,0.7623505792,0,0,10.7804158977143,0.821428571428571,1,1,0.533333333333333
65,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.297,-0.332,-0.941,0.553,0,0,0,0,0,0,26214,0.000675655892857143,0,0,3.60531601833333,0.274088247037037,0.342407982258065,0.481204757741935,0.313419386566667,0.0094591825,0,0,7.72567718214286,0.928571428571429,1,1,0.533333333333333
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.968,-0.273,-1.353,-0.756,0,0,0,0,0,0,84861,0.005612611,0,0.112280800322581,0.0627520683666667,0.165241950185185,0.217967642709677,0.203897531290323,0.197327754333333,0.0523843693333333,0,0.580117468333333,0.235320256375,0.892857142857143,1,0.806451612903226,0.733333333333333
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.314,-0.162,-0.401,0.192,0,0,0,0,0,0,82205,0,0,0,0.0893867246333333,0.137052356518519,0.139960593870968,0.147680467419355,0.141045715,0,0,0,0.5363203478,1,1,1,0.833333333333333
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.299,-0.345,-0.613,1.362,0,0,0,0,0,0,82369,0,0,0,2.15751188066667,0.240606985555556,0.328499882096774,0.342024353548387,0.326071420533333,0,0,0,7.19170626888889,1,1,1,0.7
69,3,0,2,0,0,0,0,0,0,0,0,0,1,0,-0.234,-0.392,-0.581,2.062,0,0,0,0,0,0,98238,0,0,0,2.441399939,0.190139927259259,0.244924317741935,0.28406997516129,0.278149268033333,0,0,0,7.324199817,1,1,1,0.666666666666667
70,1,8,0,0,0,0,1,8,0,0,0,0,0,0,-0.52,-0.32,-1.065,0.586,0,0,0,0,0,0,126373,0.000382353607142857,0,0,2.734088339,0.206524216481481,0.250399948258064,0.353684384516129,0.312363552,0.0053529505,0,0,7.45660456090909,0.928571428571429,1,1,0.633333333333333
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.334,0.165,-0.713,2.027,0,0,0,0,0,0,58092,0,0.047607442,0.296293296387097,2.11528417366667,0.158907062148148,0.20123147216129,0.221277637419355,0.157986902833333,0,0.2951661404,1.02056579866667,6.345852521,1,0.838709677419355,0.709677419354839,0.666666666666667
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.278,-0.15,-0.456,0.457,0,0,0,0,0,0,42909,0,0,0,0.210509239666667,0.131618419074074,0.146459495967742,0.144127546129032,0.141006002533333,0,0,0,1.05254619833333,1,1,1,0.8
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.302,-0.347,-0.402,1.587,0,0,0,0,0,0,121752,0,0,0,1.21354826626667,0.202559217407407,0.283026072741935,0.284895613548387,0.269449520333333,0,0,0,4.5508059985,1,1,1,0.733333333333333
74,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.696,0.003,-0.8,-0.699,0,0,0,0,0,0,86031,0.0597598720714286,0.260175030322581,0.116707138967742,0.0880424883333333,0.0864322557777778,0.102515693548387,0.106209576774194,0.107463097266667,0.4183191045,1.613085188,0.904480327,0.6603186625,0.857142857142857,0.838709677419355,0.870967741935484,0.866666666666667
