id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,clan,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.155,0.078,0.683,-0.101,0,0,0,0,0,0,119405,0.0125871773333333,0.456388181032258,0.892250136290323,0.1954058012,0.159333333333333,0.161666666666667,0.152,0.238,0.18880766,0.88425210075,1.843983615,0.36638587725,0.933333333333333,0.483870967741935,0.516129032258065,0.466666666666667,0,0,0,0,0,37.7075014185579,35.2785024903688,32.6314531587205,35.1893727315686,0.46,0.45,0.4,0.39,1.22,1.02,0.82,0.53,0.4,0.41,0.43,0.46,0.65,0.59,0.51,0.42
32,6,4,2,0,2,4,0,0,0,0,0,0,2,0,0.164,0.512,0.05,0.211,0,0,0,0,0,0,65257,0.150993293333333,0.24985293516129,0.320027470967742,0.150163261,0.263333333333333,0.182333333333333,0.249,0.368333333333333,1.1324497,1.29090683166667,2.4802129,0.750816305,0.866666666666667,0.806451612903226,0.870967741935484,0.8,0,4,2,2,4,37.0221006345992,35.3107650623104,33.4644849889848,33.7088458380136,0.47,0.45,0.66,0.82,1.02,0.79,0.75,0.84,0.8,0.72,0.95,0.8,0.61,0.54,0.68,0.82
33,4,0,0,0,0,0,0,0,2,0,1,0,1,0,0.797,0.284,-0.539,-0.739,0,0,0,0,0,0,223135,2.50281667216667,0.567395261677419,0,0.344467281066667,0.122666666666667,0.120666666666667,0.136,0.150666666666667,2.50281667216667,0.799511505090909,0,0.469728110545455,0,0.290322580645161,1,0.266666666666667,1,0,0,0,0,37.5481723205324,36.8963757941863,33.0607570152893,35.8532193442891,0.59,0.58,0.79,0.97,1.05,1,1.04,1.03,0.61,0.8,0.71,0.47,0.71,0.69,0.86,0.99
34,2,4,1,2,1,2,0,0,0,0,0,0,0,0,0.013,1.274,0.755,-0.435,0,0,0,0,0,0,156939,0.0909597646,0.0209741230967742,0.123463969258065,0,0.175,0.172,0.174666666666667,0.209,0.909597646,0.162549454,0.347943913363636,0,0.9,0.870967741935484,0.645161290322581,1,0,0,0,2,4,41.2630955377966,38.2121746995872,36.3894431805244,37.7303568877257,0.98,0.89,0.54,0.41,0.95,0.76,0.53,0.52,0.49,0.48,0.51,0.55,0.97,0.86,0.54,0.44
35,5,3,3,2,1,1,0,0,1,0,0,0,0,0,0.514,-0.905,-1.237,-0.83,0,0,0,0,0,0,190113,0.438327425933333,0.286409860322581,0.470014293064516,0.461677278866667,0.296666666666667,0.300333333333333,0.420666666666667,0.519333333333333,2.6299645556,1.26838652428571,1.04074593464286,1.3850318366,0.833333333333333,0.774193548387097,0.548387096774194,0.666666666666667,2,1,1,3,3,37.2438986626892,33.3240126695674,31.4483753097476,29.5434827694037,0.51,0.5,0.46,0.47,1,0.98,0.95,0.74,1.07,1,0.99,0.78,0.63,0.62,0.58,0.54
36,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.292,-0.171,-0.331,-0.295,0,0,0,0,0,0,44824,0,0,0,0,0.166666666666667,0.158666666666667,0.164333333333333,0.209,0,0,0,0,1,1,1,1,1,0,0,0,0,42.7042815279639,39.8035994585355,38.7152668125402,38.7448114455454,0.53,0.45,0.3,0.27,1.08,0.79,0.53,0.54,0.78,0.75,0.97,0.81,0.67,0.54,0.36,0.34
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0.202,-0.238,-0.423,0,0,0,0,0,0,88064,0.0971957219666667,0.00371133658064516,0,0.00742620116666667,0.134333333333333,0.135333333333333,0.140666666666667,0.167,0.5831743318,0.038350478,0,0.1113930175,0.833333333333333,0.903225806451613,1,0.933333333333333,1,0,0,0,0,39.6593755491018,37.6527387784772,34.94599631175,37.2206526987483,0.82,0.67,0.46,0.46,0.55,0.53,0.78,0.95,0.49,0.49,0.5,0.51,0.75,0.64,0.54,0.59
38,14,22,3,9,10,13,0,0,1,0,0,0,0,0,-0.424,0.35,-0.272,-0.292,0,0,0,0,0,0,422968,0,0.00253731819354839,0.00022323035483871,0.0039233922,0.160666666666667,0.157666666666667,0.175666666666667,0.204333333333333,0,0.039328432,0.0034600705,0.039233922,1,0.935483870967742,0.935483870967742,0.9,1,1,1,10,22,40.830546586013,38.2540635626308,35.6270567395598,37.1494022537465,0.71,0.64,0.36,0.36,0.57,0.55,0.55,0.55,0.82,0.96,1.02,0.87,0.68,0.62,0.41,0.41
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.492,-0.115,-0.272,-0.378,0,0,0,0,0,0,86502,0,0.000405656838709677,0,0,0.165333333333333,0.161,0.17,0.202333333333333,0,0.012575362,0,0,1,0.967741935483871,1,1,1,0,0,0,0,41.0310805185419,38.367883011111,36.106103500775,37.39636621967,0.89,0.85,0.43,0.41,0.58,0.58,0.82,1,0.82,0.95,0.8,0.6,0.81,0.78,0.53,0.56
40,3,3,2,3,0,0,1,0,0,0,0,0,0,0,-0.175,-0.235,-0.371,-0.075,0,0,0,0,0,0,83630,0.042863234,0.145277405064516,0.189242977096774,0.103724040833333,0.223666666666667,0.189333333333333,0.221,0.296,0.64294851,0.9007199114,0.651836921111111,0.444531603571429,0.933333333333333,0.838709677419355,0.709677419354839,0.766666666666667,1,0,0,1,3,39.692110054941,36.826444083051,35.3174951886618,35.0852685734997,0.48,0.46,0.46,0.48,1.01,0.79,0.55,0.52,0.91,0.86,0.92,0.78,0.62,0.54,0.49,0.49
