id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3,clans
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.855,0.521,-1.79,-0.736,0,0,0,1,1,1,274779,0.738441687533333,1.192688515,0.2041591104,0.137779359032258,0.165,0.140666666666667,0.137,0.139666666666667,1.1076625313,2.05407466472222,0.556797573818182,0.427116013,0.333333333333333,0.419354838709677,0.633333333333333,0.67741935483871,0,0,0,0,34.614233217264,41.803341737109,43.8284985384193,42.1418933392107,1,0.71,0.29,1.08,0.82,0.53,0.55,0.55,0.7,0.43,0.45,0.49,0.96,0.67,0.36,0.95,Daarood
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.358,0.97,-1.111,-1.116,0,0,0,1,1,1,115982,0.1795945148,0.641316444193548,0.136056383533333,0.00919020419354839,0.102333333333333,0.095666666666667,0.100333333333333,0.101666666666667,1.0775670888,2.48510122125,0.453521278444444,0.142448165,0.833333333333333,0.741935483870968,0.7,0.935483870967742,0,0,0,0,45.5750877925969,48.8264348930252,45.7694816357345,41.4512755219282,1.67,1.06,0.45,1.25,1.29,1.25,1.07,0.92,0.75,0.55,0.61,0.65,1.58,1.11,0.6,1.16,Dir
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.344,0.821,-0.96,-0.826,0,0,0,0,0,0,80137,0.0475244639,2.38254954777419,2.15526528933333,0.0582048818064516,0.218666666666667,0.259666666666667,0.19,0.173666666666667,0.129612174272727,3.88731768321053,4.61842562,0.300725222666667,0.633333333333333,0.387096774193548,0.533333333333333,0.806451612903226,0,0,0,0,35.5774041235394,35.5601593405479,43.1515074996338,49.2773552341999,2.07,1.83,0.91,0.59,0.96,0.83,0.55,0.58,0.56,0.58,0.61,0.66,1.8,1.58,0.82,0.59,Reewin
57,9,20,7,20,0,0,2,0,0,0,0,0,0,0,-1.039,-0.894,-1.059,0.278,1,0,0,0,0,0,228125,0.502808967,0.996606466,0.607191744333333,0.107535783870968,0.313666666666667,0.327,0.300333333333333,0.292666666666667,3.016853802,5.14913340766667,3.643150466,3.3336093,0.833333333333333,0.806451612903226,0.833333333333333,0.967741935483871,10,8,2,20,31.5802337637857,35.5765638163445,39.8415287199863,39.0982849006823,0.4,0.65,0.71,0.82,0.56,0.56,0.56,0.6,0.51,0.8,1.07,1.1,0.44,0.63,0.67,0.77,Dir
58,1,6,0,0,0,0,1,6,0,0,0,0,0,0,3.837,1.233,-1.62,-1.027,0,0,0,1,1,1,116602,2.2433029517,3.63156544341936,0.342148330633333,0.128223563032258,0.210666666666667,0.167333333333333,0.152666666666667,0.148,6.7299088551,5.11720585209091,0.6415281199375,0.441658939333333,0.666666666666667,0.290322580645161,0.466666666666667,0.709677419354839,0,0,1,6,32.243038166998,38.3602269084563,42.6100629648466,44.0082482707485,1.52,1.07,0.39,0.6,0.77,0.52,0.54,0.55,0.81,0.5,0.65,0.73,1.33,0.93,0.43,0.59,Dir
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.611,-0.322,-1.554,-0.751,0,0,0,1,1,1,59948,0.442490147,0.514172379903226,0.3559743439,0.00214861283870968,0.179,0.158666666666667,0.152666666666667,0.152333333333333,0.884980294,0.937608457470588,0.821479255153846,0.0222023326666667,0.5,0.451612903225806,0.566666666666667,0.903225806451613,0,0,0,0,35.6727107688073,40.2790663013236,40.0248816344823,38.1003391093999,0.88,0.56,0.57,1.3,0.8,0.55,0.56,0.56,0.69,0.44,0.45,0.49,0.86,0.56,0.57,1.11,Daarood
60,3,3,0,0,0,0,3,3,0,0,0,0,0,0,-0.778,0.336,-1.27,-0.813,0,0,0,0,0,0,120071,0.142615453666667,2.15113528580645,2.14275312166667,0.290305265806452,0.404,0.413666666666667,0.269666666666667,0.240666666666667,0.329112585384615,4.76322813285714,5.35688280416667,2.24986581,0.566666666666667,0.548387096774194,0.6,0.870967741935484,0,1,1,3,33.3100225843461,32.7461790211101,40.9536167633476,45.3521115383964,1.24,1.23,0.6,0.61,0.89,0.81,0.59,0.9,0.81,0.58,0.62,0.93,1.15,1.13,0.6,0.68,Reewin
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.757,-1.813,-0.779,0,0,0,1,1,1,98460,0.514349164166667,1.46984777109677,0.1683826171,0,0.149666666666667,0.130333333333333,0.125333333333333,0.122333333333333,0.857248606944444,2.8478300565,0.297145794882353,0,0.4,0.483870967741935,0.433333333333333,1,0,0,0,0,34.6155268736332,42.2386687111303,44.6952488796786,42.605799828554,1,0.68,0.16,1.12,0.84,0.56,0.59,0.83,0.73,0.47,0.49,0.51,0.96,0.65,0.27,1.04,Daarood
62,5,1,4,0,1,1,0,0,0,0,0,0,0,0,-1.106,-0.188,-1.112,0.108,1,0,0,0,0,0,336368,0.496086247666667,2.57833634706452,1.00376168666667,0.210740580645161,0.517333333333333,0.460666666666667,0.311666666666667,0.290333333333333,2.976517486,3.80611555995238,4.3018358,2.17765266666667,0.833333333333333,0.32258064516129,0.766666666666667,0.903225806451613,1,5,1,1,31.108955972448,33.9214285702599,42.4067597397419,42.0790668083352,1.12,1.31,0.87,0.79,0.52,0.49,0.49,0.51,0.5,0.49,0.52,0.54,0.97,1.11,0.77,0.72,Reewin
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.275,1.112,-1.263,-0.755,0,0,0,0,0,0,43315,0.00595610866666667,2.82566337254839,1.960495499,0.0754275206451613,0.204666666666667,0.217,0.172,0.156,0.08934163,4.610292871,4.52422038230769,0.779417713333333,0.933333333333333,0.387096774193548,0.566666666666667,0.903225806451613,0,0,0,0,35.0637826345193,34.5994624005085,45.3102952298493,49.3905155923472,2.07,1.77,0.8,0.55,0.97,0.8,0.52,0.55,0.56,0.55,0.6,0.67,1.8,1.53,0.73,0.55,Reewin
