id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3,region,pop14,popurban14,poprural14,clans
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.112,0.234,-0.843,-0.327,0,0,0,1,1,1,66106,0.613457146333333,0.328514994741935,0.226701440225806,0.00121675793333333,0.238,0.237333333333333,0.236,0.439333333333333,2.62910205571429,0.925814985181818,0.878468080875,0.036502738,0.766666666666667,0.645161290322581,0.741935483870968,0.966666666666667,0,0,0,0,39.9190295620041,35.6389741756214,33.7034730023913,32.3036477957955,1.88,1.87,2.49,2.85,1.45,1.64,1.56,1.58,1.77,1.71,1.66,1.34,1.77,1.82,2.26,2.53,2,59129,4626,51503,Reewin
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.264,0.977,-0.417,-0.415,0,0,0,1,1,1,93476,0.3031151896,0.0312608356129032,0.126966284193548,0.000363709066666667,0.201666666666667,0.197666666666667,0.216333333333333,0.297333333333333,3.031151896,0.0969085904,0.218664156111111,0.005455636,0.9,0.67741935483871,0.419354838709677,0.933333333333333,0,0,0,0,40.9390145227524,35.9885683877684,34.814682309152,35.0486577006937,1.15,1.74,2.18,2.41,1.33,1.38,1.36,1.64,1.48,1.39,1.4,1.2,1.2,1.65,1.97,2.22,6,83610,12628,43692,Hawiye
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.085,-0.217,0.122,-0.038,0,0,0,1,1,1,122835,0.1359264803,0.399065550064516,0.811556291387097,0.196090370066667,0.193333333333333,0.196,0.231666666666667,0.292,1.359264803,1.2371032052,1.47989676664706,0.653634566888889,0.9,0.67741935483871,0.451612903225806,0.7,0,0,0,0,37.7372804982491,34.4747582317019,33.6705683047962,32.7381669015927,2.45,2.47,2.74,2.48,1.27,1.3,1.27,1.52,1.3,1.26,1.26,1.01,2.15,2.18,2.37,2.24,6,109870,38399,53561,Hawiye
32,3,3,0,0,0,0,3,3,0,0,0,0,0,0,-0.054,1.262,0.33,-0.787,0,0,0,0,0,0,67131,0.119842451466667,0.284164418967742,0.359828332516129,0.0822794247666667,0.296333333333333,0.3,0.366333333333333,0.502666666666667,0.599212257333333,0.978788554222222,1.23940870088889,0.61709568575,0.8,0.709677419354839,0.709677419354839,0.866666666666667,3,3,1,3,36.9684388753608,32.2646367587119,31.6760555642859,28.2683320237498,1.57,1.95,2.03,1.97,1.64,1.71,1.65,1.59,2.17,2.01,1.94,1.69,1.59,1.89,1.93,1.87,7,60046,10106,36930,Hawiye
33,4,3,1,0,3,3,0,0,0,0,0,0,0,0,-0.779,-0.405,-0.507,-0.473,0,0,0,0,0,0,229546,1.25975123713333,0.141337605354839,0.00388879748387097,0.412684411366667,0.127666666666667,0.12,0.132333333333333,0.157333333333333,1.71784259609091,0.208641226952381,0.0401842406666667,0.61902661705,0.266666666666667,0.32258064516129,0.903225806451613,0.333333333333333,0,0,3,3,39.8644451851776,35.7402382234092,32.8758294633791,33.0029731949191,1.86,1.66,2.06,2.36,1.16,1.37,1.4,1.41,0.52,0.53,0.55,0.52,1.68,1.58,1.9,2.13,15,205318,85119,119389,Daarood
34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.194,0.839,-0.471,0.016,0,0,0,0,0,0,161447,0.0483083887666667,0.021492402516129,0.0203061902258065,0.00675101866666667,0.194666666666667,0.187,0.208666666666667,0.263,0.483083887666667,0.1665661195,0.1258983794,0.20253056,0.9,0.870967741935484,0.838709677419355,0.966666666666667,0,1,0,0,41.5375870287509,36.865322064104,35.9510669578925,36.1835794867189,1.12,1.7,2.19,2.5,1.36,1.45,1.41,1.74,1.49,1.42,1.48,1.3,1.18,1.64,2,2.31,6,144407,36099,72908,Hawiye
35,3,3,2,3,0,0,0,0,1,0,0,0,0,0,-0.674,1.998,1.661,-0.577,0,0,0,0,0,0,195574,0.2455033599,0.552381525806452,1.0916070283871,0.5431815255,0.307,0.329333333333333,0.453333333333333,0.531333333333333,1.05215725671429,1.90264747777778,3.07634708,1.6295445765,0.766666666666667,0.709677419354839,0.645161290322581,0.666666666666667,3,2,1,3,36.8990382085319,32.5079673662596,31.3713033850112,28.6853553989444,2.08,1.97,1.93,1.92,1.19,1.22,1.21,1.43,1.52,1.45,1.4,1.08,1.86,1.79,1.75,1.8,5,174932,23692,147910,Reewin
36,1,30,1,30,0,0,0,0,0,0,0,0,0,0,-0.292,3.074,-0.331,1.125,0,0,0,0,0,0,46112,0,0.001391892,0,0.07913187,0.191666666666667,0.201,0.202333333333333,0.292333333333333,0,0.0086297304,0,0.7913187,1,0.838709677419355,1,0.9,0,0,1,30,43.8043331175811,40.0265536248384,36.5044012800934,35.0564283985316,1.45,2.42,3.34,3.46,1.44,1.63,1.64,1.77,1.98,1.9,1.88,1.73,1.45,2.22,2.91,3.04,7,41245,7559,25908,Daarood
37,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.114,1.273,-0.233,-0.483,0,0,0,0,0,0,90594,0.08417745,0.00780595806451613,0,0,0.137333333333333,0.134,0.141333333333333,0.164666666666667,1.26266175,0.04839694,0,0,0.933333333333333,0.838709677419355,1,1,0,0,0,0,40.0033717591125,35.3327806918549,34.4128066436024,35.5148479005441,2.2,1.54,2.13,2.63,1.2,1.38,1.33,1.33,0.54,0.51,0.52,0.52,1.95,1.5,1.93,2.3,14,81032,8155,72877,Daarood
38,5,12,3,10,2,2,0,0,0,0,0,0,0,0,0.799,1.537,-0.275,-0.347,0,0,0,0,0,0,435119,0.1207799733,0.00762363590322581,0.000304322548387097,0.0023269108,0.171666666666667,0.164666666666667,0.179333333333333,0.218333333333333,1.207799733,0.05908317825,0.009433999,0.034903662,0.9,0.870967741935484,0.967741935483871,0.933333333333333,0,0,4,12,40.9846808022721,37.2039981562453,35.6079437840112,35.5133564058989,1.99,1.43,2.26,2.74,1.34,1.57,1.55,1.66,1.47,1.39,1.46,1.32,1.83,1.47,2.08,2.47,13,389194,270651,72221,Daarood
